"colors","names","r","g","b"
"#8D8D93","Blake",141,141,147
"#7E8486","Cynthia",126,132,134
"#EBEDF1","Dallas",235,237,241
"#CBCBCD","Leopard Spots Topper",203,203,205
"#949496","Imogen",148,148,150
"#878786","Storm",135,135,134
"#8D8A85","Edyta",141,138,133
"#8A8A87","Claudine",138,138,135
"#747474","Willa",116,116,116
"#7B7B7B","Raven",123,123,123
